"","train_lls","train_acc","train_response","train_prediction"
"1",-0.928176661777837,FALSE,3,2
"2",-1.20762395209753,FALSE,2,3
"3",-0.842645849042052,FALSE,3,2
"4",-0.615499154789707,TRUE,3,3
"5",-1.34715779037954,FALSE,1,2
"6",-3.34837057059067,FALSE,4,2
"7",-1.66954505484473,FALSE,4,3
"8",-0.803263326373758,TRUE,2,2
"9",-2.09702327167017,FALSE,4,3
"10",-0.595046276410724,TRUE,3,3
"11",-0.792747658777731,TRUE,3,3
"12",-0.772680688272631,TRUE,3,3
"13",-0.892628674723601,FALSE,2,3
"14",-0.835713211783427,FALSE,2,3
"15",-0.547054628289885,TRUE,3,3
"16",-0.981361951063035,FALSE,2,3
"17",-0.75659208534519,TRUE,2,2
"18",-0.628265494042146,TRUE,3,3
"19",-0.952410212414832,FALSE,3,2
"20",-0.565076272272842,TRUE,3,3
"21",-0.706260008770095,TRUE,3,3
"22",-0.880792682175773,FALSE,3,2
"23",-0.706260008770095,TRUE,3,3
"24",-1.32202220790432,FALSE,2,3
"25",-1.60161309129089,FALSE,4,3
"26",-1.32952219869581,FALSE,2,3
"27",-0.562215538536102,TRUE,3,3
"28",-0.862672864644732,FALSE,2,3
"29",-0.55015508095426,TRUE,3,3
"30",-0.720607766579251,TRUE,2,2
"31",-0.924954688351787,FALSE,2,3
"32",-0.732281661815198,TRUE,2,2
"33",-2.79422085710681,FALSE,1,3
"34",-0.857711027279673,FALSE,3,2
"35",-0.552103623539469,TRUE,3,3
"36",-0.629149902762224,TRUE,3,3
"37",-0.938509070302759,FALSE,2,3
"38",-0.569742813526364,TRUE,3,3
"39",-0.695508805966613,TRUE,3,3
"40",-1.08068736008011,FALSE,2,3
"41",-0.732447426538073,TRUE,2,2
"42",-0.652868750987784,TRUE,3,3
"43",-0.550197778128895,TRUE,3,3
"44",-2.90347219743053,FALSE,1,3
"45",-0.798497057768578,TRUE,1,1
"46",-0.7290044077616,TRUE,3,3
"47",-0.595046276410724,TRUE,3,3
"48",-0.843891876676545,FALSE,2,1
"49",-1.41021853265321,FALSE,1,2
"50",-0.786033902962723,TRUE,3,3
"51",-0.816330381669728,TRUE,2,2
"52",-0.547905499522842,TRUE,3,3
"53",-2.25745791021512,FALSE,4,3
"54",-1.16728497950858,FALSE,3,2
"55",-0.721913319412021,TRUE,2,2
"56",-1.14434976046882,FALSE,2,3
"57",-0.741687456234199,TRUE,2,2
"58",-1.72524643211128,FALSE,4,3
"59",-0.772680688272631,TRUE,3,3
"60",-0.756289924668948,TRUE,2,2
"61",-1.01615100254286,FALSE,1,2
"62",-0.720607766579251,TRUE,2,2
"63",-0.830878065993961,TRUE,2,2
"64",-0.918308548538292,FALSE,2,3
"65",-0.657203353682804,TRUE,3,3
"66",-1.03604980358812,FALSE,3,2
"67",-0.759086072881294,TRUE,2,2
"68",-0.966787823401978,FALSE,2,3
"69",-0.55508987210586,TRUE,3,3
"70",-0.988737319394968,FALSE,2,3
"71",-0.968889935223402,FALSE,3,2
"72",-0.773703735944581,TRUE,2,2
"73",-0.811995247834659,TRUE,2,2
"74",-1.20762395209753,FALSE,2,3
"75",-0.640486400987082,TRUE,3,3
"76",-2.62377712274464,FALSE,1,3
"77",-0.597666848107468,TRUE,3,3
"78",-0.606091542249987,TRUE,3,3
"79",-0.719435579247271,TRUE,2,2
"80",-1.0021980905033,FALSE,3,2
"81",-0.734909116467993,TRUE,3,3
"82",-0.73524615994236,TRUE,2,2
"83",-0.548276954595413,TRUE,3,3
"84",-0.585322707965297,TRUE,3,3
"85",-0.546939798104241,TRUE,3,3
"86",-0.912094790709663,FALSE,3,2
"87",-0.546866097072259,TRUE,3,3
"88",-0.857711027279673,FALSE,3,2
"89",-1.10491578306617,FALSE,3,2
"90",-1.99281536654659,FALSE,4,3
"91",-0.595046276410724,TRUE,3,3
"92",-0.549110211520866,TRUE,3,3
"93",-1.11367381514864,FALSE,3,2
"94",-1.06157855270216,FALSE,3,2
"95",-0.945482313862656,FALSE,2,3
"96",-0.603212112413834,TRUE,3,3
"97",-0.583101212346716,TRUE,3,3
"98",-2.64483486962996,FALSE,4,3
"99",-0.825882575827204,TRUE,2,2
"100",-0.720456859297627,TRUE,2,2
"101",-0.554502049668826,TRUE,3,3
"102",-0.592457401166491,TRUE,3,3
"103",-0.585322707965297,TRUE,3,3
"104",-0.131437527842956,TRUE,1,1
"105",-0.787424320024983,TRUE,2,2
"106",-1.19423275426713,FALSE,3,2
"107",-0.842645849042052,FALSE,3,2
"108",-1.71938792243953,FALSE,1,2
"109",-0.896217188429502,FALSE,3,2
"110",-0.615499154789707,TRUE,3,3
