"","train_lls","train_acc","train_response","train_prediction"
"1",-0.675045313762264,TRUE,3,3
"2",-1.26130314887962,FALSE,2,3
"3",-0.234005775705366,TRUE,3,3
"4",-0.377265425923205,TRUE,3,3
"5",-2.18813270266699,FALSE,1,2
"6",-5.91407822556002,FALSE,4,3
"7",-2.13981341430119,FALSE,4,3
"8",-0.701439942227367,FALSE,2,3
"9",-4.06011992342258,FALSE,4,3
"10",-0.272142354216396,TRUE,3,3
"11",-0.539904188439775,TRUE,3,3
"12",-0.704779252578387,FALSE,3,2
"13",-0.309934288197849,TRUE,2,2
"14",-0.575707913008204,TRUE,2,2
"15",-0.14327791735971,TRUE,3,3
"16",-0.525638931412801,TRUE,2,2
"17",-0.158560569562444,TRUE,2,2
"18",-0.770589369874427,FALSE,3,4
"19",-0.976770915366972,FALSE,3,2
"20",-0.19732614358475,TRUE,3,3
"21",-0.308839169607562,TRUE,3,3
"22",-0.816199877495617,FALSE,3,2
"23",-0.252284151847225,TRUE,3,3
"24",-2.41470125084717,FALSE,2,3
"25",-0.814174626667679,FALSE,4,3
"26",-0.701439942227367,FALSE,2,3
"27",-0.515509451916908,TRUE,3,3
"28",-0.341978661095937,TRUE,2,2
"29",-0.139312105347972,TRUE,3,3
"30",-0.22623677279302,TRUE,2,2
"31",-0.953284158090959,FALSE,2,3
"32",-0.185674534244298,TRUE,2,2
"33",-5.00186138573437,FALSE,1,2
"34",-0.515509451916908,TRUE,3,3
"35",-0.141219374119603,TRUE,3,3
"36",-0.286274904942709,TRUE,3,3
"37",-0.513665752193805,TRUE,2,2
"38",-0.184095104383145,TRUE,3,3
"39",-0.416138699821306,TRUE,3,3
"40",-1.11034442956193,FALSE,2,3
"41",-0.261069230219634,TRUE,2,2
"42",-0.135949370891526,TRUE,3,3
"43",-0.228914459991177,TRUE,3,3
"44",-7.05434568645753,FALSE,1,3
"45",-1.12814112935698,FALSE,1,2
"46",-0.279118435445677,TRUE,3,3
"47",-0.286274904942709,TRUE,3,3
"48",-0.291537848082368,TRUE,2,2
"49",-2.2515798173486,FALSE,1,2
"50",-0.552424860265328,TRUE,3,3
"51",-0.501907639089447,TRUE,2,2
"52",-0.129665862485937,TRUE,3,3
"53",-3.78997941986484,FALSE,4,3
"54",-1.05458392244702,FALSE,3,2
"55",-0.221046507639794,TRUE,2,2
"56",-1.26130314887962,FALSE,2,3
"57",-0.168986761328749,TRUE,2,2
"58",-1.87200147811537,FALSE,4,3
"59",-0.63215777902311,TRUE,3,3
"60",-0.144400973870917,TRUE,2,2
"61",-0.848022925937921,FALSE,1,2
"62",-0.15069068609113,TRUE,2,2
"63",-0.39587225473523,TRUE,2,2
"64",-0.747493702211499,FALSE,2,3
"65",-0.252284151847225,TRUE,3,3
"66",-1.07466961673452,FALSE,3,2
"67",-0.298688996490375,TRUE,2,2
"68",-0.701439942227367,FALSE,2,3
"69",-0.138089348811137,TRUE,3,3
