congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
89,President,99903,99,0,USA,100,0,0,"JOHNSON, Lyndon Baines",J000160,1908,1973.0,-0.337,-0.035,-104.87549,0.781,425,39,,,
89,Senate,4418,41,0,AL,100,0,1,"HILL, Joseph Lister",H000598,1894,1984.0,-0.265,0.851,-156.03452,0.678,402,74,,-0.103,0.797
89,Senate,8764,41,0,AL,100,0,1,"SPARKMAN, John Jackson",S000701,1899,1985.0,-0.204,0.795,-118.07511,0.707,340,54,,-0.14,0.774
89,Senate,486,81,0,AK,100,0,1,"BARTLETT, Edward Lewis (Bob)",B000201,1904,1968.0,-0.495,0.484,-156.90626,0.691,424,80,,-0.454,0.434
89,Senate,3864,81,0,AK,100,0,1,"GRUENING, Ernest Henry",G000508,1887,1974.0,-0.689,0.724,-146.15463,0.697,405,85,,-0.715,0.699
89,Senate,4227,61,0,AZ,100,0,1,"HAYDEN, Carl Trumbull",H000385,1877,1972.0,-0.221,0.334,-76.56122,0.707,221,28,,-0.285,0.532
89,Senate,10804,61,0,AZ,200,0,1,"FANNIN, Paul Jones",F000013,1907,2002.0,0.512,0.028,-116.33827,0.766,437,58,,0.419,-0.122
89,Senate,3388,42,0,AR,100,0,1,"FULBRIGHT, James William",F000401,1905,1995.0,-0.38,0.925,-179.54615,0.61,363,90,,-0.384,0.923
89,Senate,6151,42,0,AR,100,0,1,"McCLELLAN, John Little",M000332,1896,1977.0,0.017,0.962,-102.78132,0.768,390,49,,0.028,0.894
89,Senate,5372,71,0,CA,200,0,1,"KUCHEL, Thomas Henry",K000335,1910,1994.0,0.098,-0.61,-153.4942,0.692,417,76,,0.088,-0.589
89,Senate,10814,71,0,CA,200,0,1,"MURPHY, George Lloyd",M001092,1902,1992.0,0.341,-0.251,-122.50633,0.753,432,49,,0.356,-0.298
89,Senate,142,62,0,CO,200,0,1,"ALLOTT, Gordon Llewellyn",A000161,1907,1989.0,0.308,-0.445,-117.81556,0.75,410,51,,0.267,-0.387
89,Senate,10514,62,0,CO,200,0,1,"DOMINICK, Peter Hoyt",D000409,1915,1981.0,0.369,-0.434,-121.04656,0.759,438,45,,0.411,-0.54
89,Senate,2636,1,0,CT,100,0,1,"DODD, Thomas Joseph",D000390,1907,1971.0,-0.216,-0.034,-140.48309,0.713,416,68,,-0.232,-0.227
89,Senate,7847,1,0,CT,100,0,1,"RIBICOFF, Abraham Alexander",R000191,1910,1998.0,-0.313,-0.328,-108.11043,0.777,429,45,,-0.361,-0.309
89,Senate,823,11,0,DE,200,0,1,"BOGGS, James Caleb",B000593,1909,1993.0,0.21,-0.673,-154.42676,0.7,433,76,,0.191,-0.752
89,Senate,10163,11,0,DE,200,0,1,"WILLIAMS, John James",W000518,1904,1988.0,0.603,-0.442,-166.45906,0.683,436,85,,0.695,-0.719
89,Senate,4520,43,0,FL,100,0,1,"HOLLAND, Spessard Lindsey",H000720,1892,1971.0,0.009,0.599,-176.42059,0.67,441,81,,0.006,0.782
89,Senate,8593,43,0,FL,100,0,1,"SMATHERS, George Armistead",S000505,1913,2007.0,-0.143,0.714,-141.09991,0.679,365,73,,-0.209,0.814
89,Senate,8138,44,0,GA,100,0,1,"RUSSELL, Richard Brevard, Jr.",R000536,1897,1971.0,0.005,1.0,-99.64902,0.743,336,50,,0.044,0.929
89,Senate,9174,44,0,GA,100,0,1,"TALMADGE, Herman Eugene",T000035,1913,2002.0,-0.091,0.996,-119.30199,0.74,396,56,,-0.039,0.918
89,Senate,3255,82,0,HI,200,0,1,"FONG, Hiram Leong",F000245,1906,2004.0,0.165,-0.515,-202.00376,0.62,423,110,,0.08,-0.482
89,Senate,4812,82,0,HI,100,0,1,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-88.84257,0.809,418,35,,-0.335,0.015
89,Senate,1721,63,0,ID,100,0,1,"CHURCH, Frank Forrester",C000388,1924,1984.0,-0.384,0.31,-118.15315,0.716,354,63,,-0.449,0.454
89,Senate,10807,63,0,ID,200,0,1,"JORDAN, Leonard Beck (Len)",J000269,1899,1983.0,0.373,-0.36,-117.09687,0.765,438,47,,0.437,-0.33
89,Senate,2609,21,0,IL,200,0,1,"DIRKSEN, Everett McKinley",D000360,1896,1969.0,0.317,-0.498,-126.82685,0.735,412,62,,0.324,-0.457
