congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
90,President,99903,99,0,USA,100,0,0,"JOHNSON, Lyndon Baines",J000160,1908,1973.0,-0.337,-0.035,-169.60194,0.694,464,75,,,
90,Senate,4418,41,0,AL,100,0,1,"HILL, Joseph Lister",H000598,1894,1984.0,-0.265,0.851,-141.87326,0.747,487,58,,-0.193,0.981
90,Senate,8764,41,0,AL,100,0,1,"SPARKMAN, John Jackson",S000701,1899,1985.0,-0.204,0.795,-145.05559,0.73,460,64,,-0.219,0.792
90,Senate,486,81,0,AK,100,0,1,"BARTLETT, Edward Lewis (Bob)",B000201,1904,1968.0,-0.495,0.484,-184.52055,0.664,450,91,,-0.453,0.475
90,Senate,3864,81,0,AK,100,0,1,"GRUENING, Ernest Henry",G000508,1887,1974.0,-0.689,0.724,-171.61532,0.687,457,86,,-0.716,0.69
90,Senate,4227,61,0,AZ,100,0,1,"HAYDEN, Carl Trumbull",H000385,1877,1972.0,-0.221,0.334,-144.57671,0.669,360,63,,-0.309,0.703
90,Senate,10804,61,0,AZ,200,0,1,"FANNIN, Paul Jones",F000013,1907,2002.0,0.512,0.028,-123.88009,0.787,516,60,,0.396,0.008
90,Senate,3388,42,0,AR,100,0,1,"FULBRIGHT, James William",F000401,1905,1995.0,-0.38,0.925,-152.89559,0.644,347,68,,-0.419,0.899
90,Senate,6151,42,0,AR,100,0,1,"McCLELLAN, John Little",M000332,1896,1977.0,0.017,0.962,-109.32211,0.792,468,49,,0.017,0.867
90,Senate,5372,71,0,CA,200,0,1,"KUCHEL, Thomas Henry",K000335,1910,1994.0,0.098,-0.61,-181.26972,0.697,503,85,,0.075,-0.577
90,Senate,10814,71,0,CA,200,0,1,"MURPHY, George Lloyd",M001092,1902,1992.0,0.341,-0.251,-156.54501,0.737,513,65,,0.417,-0.343
90,Senate,142,62,0,CO,200,0,1,"ALLOTT, Gordon Llewellyn",A000161,1907,1989.0,0.308,-0.445,-140.28168,0.756,501,62,,0.3,-0.328
90,Senate,10514,62,0,CO,200,0,1,"DOMINICK, Peter Hoyt",D000409,1915,1981.0,0.369,-0.434,-167.7422,0.721,513,80,,0.348,-0.481
90,Senate,2636,1,0,CT,100,0,1,"DODD, Thomas Joseph",D000390,1907,1971.0,-0.216,-0.034,-218.4129,0.593,418,92,,-0.29,0.206
90,Senate,7847,1,0,CT,100,0,1,"RIBICOFF, Abraham Alexander",R000191,1910,1998.0,-0.313,-0.328,-204.2899,0.653,480,95,,-0.291,-0.12
90,Senate,823,11,0,DE,200,0,1,"BOGGS, James Caleb",B000593,1909,1993.0,0.21,-0.673,-174.68507,0.713,517,83,,0.248,-0.656
90,Senate,10163,11,0,DE,200,0,1,"WILLIAMS, John James",W000518,1904,1988.0,0.603,-0.442,-199.5966,0.679,515,100,,0.768,-0.641
90,Senate,4520,43,0,FL,100,0,1,"HOLLAND, Spessard Lindsey",H000720,1892,1971.0,0.009,0.599,-187.74332,0.696,518,96,,-0.055,0.794
90,Senate,8593,43,0,FL,100,0,1,"SMATHERS, George Armistead",S000505,1913,2007.0,-0.143,0.714,-160.80393,0.651,374,70,,-0.203,0.743
90,Senate,8138,44,0,GA,100,0,1,"RUSSELL, Richard Brevard, Jr.",R000536,1897,1971.0,0.005,1.0,-107.32538,0.763,397,51,,0.111,0.994
90,Senate,9174,44,0,GA,100,0,1,"TALMADGE, Herman Eugene",T000035,1913,2002.0,-0.091,0.996,-88.38017,0.794,383,39,,-0.038,0.999
90,Senate,3255,82,0,HI,200,0,1,"FONG, Hiram Leong",F000245,1906,2004.0,0.165,-0.515,-211.28096,0.635,465,98,,0.051,-0.452
90,Senate,4812,82,0,HI,100,0,1,"INOUYE, Daniel Ken",I000025,1924,2012.0,-0.319,0.062,-108.60712,0.762,399,42,,-0.29,-0.128
90,Senate,1721,63,0,ID,100,0,1,"CHURCH, Frank Forrester",C000388,1924,1984.0,-0.384,0.31,-191.59577,0.61,388,95,,-0.396,0.421
90,Senate,10807,63,0,ID,200,0,1,"JORDAN, Leonard Beck (Len)",J000269,1899,1983.0,0.373,-0.36,-143.42695,0.754,509,71,,0.359,-0.303
90,Senate,2609,21,0,IL,200,0,1,"DIRKSEN, Everett McKinley",D000360,1896,1969.0,0.317,-0.498,-175.07882,0.698,487,80,,0.283,-0.365
90,Senate,11205,21,0,IL,200,0,1,"PERCY, Charles Harting",P000222,1919,2011.0,0.099,-0.861,-156.20997,0.73,496,68,,0.16,-0.936
